no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
5160,https://www.parade.com,2,ok,104.17.89.42,443,0.069063,0.032929,0.031433,0.069241,0.000000,0.082932,0.083059
5161,https://www.wordcounter.net,2,ok,104.20.193.70,443,0.033391,0.007475,0.006329,0.033514,0.000000,0.314106,0.314247
5305,https://www.slidesgo.com,2,ok,104.22.0.146,443,0.028273,0.007312,0.006077,0.028561,0.000000,0.103388,0.103509
5324,https://www.jamendo.com,2,ok,172.67.71.171,443,0.036896,0.016682,0.007050,0.036990,0.000000,0.310765,0.311182
5345,https://www.colourpop.com,2,ok,23.227.38.74,443,0.042322,0.025334,0.022831,0.042434,0.000000,0.223090,0.223187
5377,https://www.google.tn,2,ok,172.217.18.99,443,0.044633,0.013375,0.012083,0.044815,0.000000,0.096869,0.097196
5386,https://www.google.org,2,ok,216.239.32.27,443,0.037131,0.012982,0.011518,0.037261,0.000000,0.050820,0.057210
5408,https://www.google.jo,2,ok,172.217.16.131,443,0.061842,0.024715,0.023533,0.061908,0.000000,0.103708,0.104246
5429,https://www.yalla-shoot.com,2,ok,104.21.234.145,443,0.042122,0.014127,0.005427,0.042260,0.000000,0.099420,0.099494
5432,https://www.lasvegassun.com,2,ok,172.67.17.169,443,0.024455,0.007381,0.006324,0.024694,0.000000,0.054269,0.054314
5450,https://www.tweaktown.com,2,ok,104.22.36.139,443,0.041937,0.022462,0.021247,0.042053,0.000000,0.100729,0.103112
5457,https://www.vu.nl,2,ok,104.27.176.61,443,0.055940,0.029547,0.021067,0.056094,0.000000,0.439949,0.440049
5466,https://www.fresherslive.com,2,ok,104.22.79.185,443,0.039651,0.021381,0.020422,0.039749,0.000000,0.571042,0.931069
5481,https://www.google.com.uy,2,ok,216.58.212.163,443,0.400153,0.381491,0.380078,0.400303,0.000000,0.442994,0.444476
5482,https://www.taroot-rangi.com,2,ok,104.26.5.125,443,0.026304,0.009123,0.008157,0.026451,0.000000,0.058449,0.060801
5544,https://www.pressherald.com,2,ok,172.67.68.119,443,0.040816,0.014370,0.005871,0.040903,0.000000,0.598714,0.689496
5587,https://www.redgifs.com,2,ok,104.18.5.207,443,0.031487,0.006491,0.005781,0.031626,0.000000,0.041569,0.043614
5590,https://www.indosport.com,2,ok,104.26.2.58,443,0.026667,0.007863,0.006404,0.026758,0.000000,0.444340,0.482158
5647,https://www.pjmedia.com,2,ok,104.18.19.43,443,0.023893,0.006734,0.005933,0.024023,0.000000,0.442216,0.442318
5655,https://www.friendfeed.com,0,error,157.240.9.18,443,0.000000,0.048390,0.020800,0.000000,0.000000,0.000000,0.091277
5675,https://www.piliapp.com,2,ok,172.67.75.119,443,0.052020,0.029863,0.021082,0.052113,0.000000,0.102747,0.103258
5678,https://www.nation.africa,2,ok,104.18.29.152,443,0.067224,0.039094,0.037786,0.067362,0.000000,0.084766,0.084810
5681,https://www.storeboard.com,2,ok,172.67.68.13,443,0.073098,0.015301,0.006276,0.073188,0.000000,0.314860,0.314987
