no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
1,https://www.google.com,2,ok,172.217.23.164,443,0.057557000000000004,0.021735,0.020279,0.057961,0.0,0.105875,0.106119
2,https://www.facebook.com,2,ok,157.240.9.35,443,0.080313,0.035644,0.007352,0.08046,0.0,0.278586,0.389824
3,https://www.youtube.com,2,ok,216.58.205.238,443,0.031089999999999996,0.013286000000000001,0.011309,0.031233999999999998,0.0,0.10031,0.5437270000000001
7,https://www.instagram.com,2,ok,185.60.216.174,443,0.019972999999999998,0.006215,0.004289,0.020081,0.0,0.21508200000000002,0.216666
18,https://www.doubleclick.net,2,ok,172.217.23.174,443,0.036522000000000006,0.012575,0.010832,0.036608,0.0,0.045232,0.045364
21,https://www.googletagmanager.com,2,ok,172.217.23.104,443,0.052372,0.011598,0.010329000000000001,0.052533,0.0,0.061034000000000005,0.061148
34,https://www.googleusercontent.com,2,ok,172.217.22.97,443,0.035628,0.012607,0.011144,0.035716000000000005,0.0,0.045349,0.045442
37,https://www.goo.gl,2,ok,216.58.212.174,443,0.036779,0.018866,0.014844999999999999,0.036879,0.0,0.156256,0.156342
42,https://www.blogspot.com,2,ok,172.217.22.41,443,0.047652,0.025352,0.024208,0.047793,0.0,0.6207699999999999,0.620903
45,https://www.google-analytics.com,2,ok,172.217.18.174,443,0.023516,0.004154,0.00278,0.023655000000000002,0.0,0.069124,0.069225
48,https://www.fbcdn.net,2,ok,157.240.9.35,443,0.083347,0.037801999999999995,0.010683,0.083493,0.0,0.22149699999999997,0.221543
55,https://www.myshopify.com,2,ok,23.227.38.74,443,0.025241,0.006259000000000001,0.004173,0.02535,0.0,0.188995,0.189111
67,https://www.medium.com,2,ok,104.16.118.145,443,0.023722999999999998,0.007092,0.005843999999999999,0.023812,0.0,0.160412,0.160496
75,https://www.google.com.hk,2,ok,172.217.22.3,443,0.036467,0.015475,0.012362,0.036617000000000004,0.0,0.073987,0.07449299999999999
84,https://www.googlevideo.com,2,ok,172.217.23.164,443,0.038286,0.013421,0.011704,0.038425,0.0,0.046794,0.046902
94,https://www.cloudflare.com,2,ok,104.16.124.96,443,0.027933999999999997,0.008255,0.007056999999999999,0.028078,0.0,0.10905699999999999,0.113408
95,https://www.googleadservices.com,2,ok,142.250.74.194,443,0.039363999999999996,0.012292,0.011228,0.039505,0.0,0.048688,0.048773000000000004
114,https://www.google.co.in,2,ok,216.58.212.163,443,0.031819,0.013219999999999999,0.010537999999999999,0.031935000000000005,0.0,0.072939,0.07339
127,https://www.tinyurl.com,2,ok,104.20.139.65,443,0.022019999999999998,0.007709000000000001,0.006966,0.022174,0.0,0.5582560000000001,0.5583140000000001
131,https://www.google.de,2,ok,172.217.16.163,443,0.037877,0.012088,0.010701,0.03808,0.0,0.078925,0.079246
132,https://www.yy.com,2,ok,103.227.121.100,443,1.622295,0.635478,0.308838,1.622466,0.0,1.9489009999999998,3.238609
146,https://www.google.co.jp,2,ok,172.217.23.99,443,0.031567000000000005,0.013603,0.012436,0.03166,0.0,0.073509,0.07437200000000001
153,https://www.youtube-nocookie.com,2,ok,172.217.23.142,443,0.03151,0.012436,0.011066,0.031618,0.0,0.048395,0.048527
157,https://www.google.com.br,2,ok,172.217.23.131,443,0.031434,0.013604,0.011056,0.031539,0.0,0.080474,0.08104
179,https://www.google.co.uk,2,ok,172.217.16.163,443,0.043075,0.014421999999999999,0.011307,0.043220999999999996,0.0,0.08496000000000001,0.085395
188,https://www.google.cn,2,ok,172.217.22.3,443,0.032518,0.012853,0.010251999999999999,0.032635000000000004,0.0,0.052912,0.053002999999999995
190,https://www.blogger.com,2,ok,172.217.22.41,443,0.035643,0.011675,0.010785,0.035794,0.0,0.10802300000000001,0.108123
200,https://www.fb.com,2,ok,185.60.216.35,443,0.032115,0.011869,0.008511,0.032221,0.0,0.130456,0.13051
220,https://www.google.es,2,ok,172.217.18.99,443,0.029463999999999997,0.0122,0.011058,0.029555,0.0,0.073055,0.073516
225,https://www.google.fr,2,ok,172.217.18.3,443,0.034256,0.016121,0.01299,0.034373,0.0,0.076052,0.076537
227,https://www.google.ru,2,ok,216.58.212.131,443,0.126407,0.10345599999999999,0.100143,0.12651500000000002,0.0,0.166464,0.166858
244,https://www.google.it,2,ok,216.58.207.67,443,0.035198,0.011626000000000001,0.010439,0.035293,0.0,0.117851,0.118245
273,https://www.gmail.com,2,ok,172.217.18.101,443,0.034502,0.014122,0.010818000000000001,0.034592000000000005,0.0,0.043456,0.043612
282,https://www.android.com,2,ok,172.217.23.174,443,0.031827999999999995,0.012303,0.010354,0.031912,0.0,0.07914500000000001,0.10568499999999999
284,https://www.googletagservices.com,2,ok,172.217.23.98,443,0.030197,0.011829000000000001,0.010357,0.030286,0.0,0.039173,0.039272
294,https://www.addtoany.com,2,ok,104.22.70.197,443,0.024718,0.007141,0.005995,0.024859,0.0,0.043556,0.043821
298,https://www.google.ca,2,ok,172.217.21.227,443,0.030587,0.011645,0.010234,0.030725,0.0,0.068738,0.069155
313,https://www.google.com.sg,2,ok,172.217.22.3,443,0.035632,0.014625,0.013872999999999998,0.035768,0.0,0.075488,0.07576000000000001
326,https://www.google.com.tw,2,ok,216.58.212.131,443,0.051329999999999994,0.024523,0.023168,0.051462,0.0,0.09284500000000001,0.093564
333,https://www.discord.com,2,ok,162.159.135.232,443,0.022819,0.008288,0.00734,0.022928999999999998,0.0,0.038051,0.038114
337,https://www.tandfonline.com,2,ok,104.18.19.218,443,0.031879000000000005,0.014683000000000002,0.013541999999999998,0.031996,0.0,0.223057,0.22315300000000002
341,https://www.shopify.com,2,ok,104.16.254.71,443,0.036,0.006768000000000001,0.005713,0.036145,0.0,0.188193,0.200988
351,https://www.pixabay.com,2,ok,104.18.20.183,443,0.025297,0.007181,0.005967,0.02541,0.0,0.425325,0.425969
375,https://www.pki.goog,2,ok,172.217.23.174,443,0.043793,0.019928,0.018765,0.043907999999999996,0.0,0.052259,0.052377999999999994
377,https://www.crashlytics.com,2,ok,216.239.32.29,443,0.032205000000000004,0.013796000000000001,0.011159,0.032320999999999996,0.0,0.041012,0.04111
383,https://www.google.com.mx,2,ok,172.217.23.99,443,0.031224000000000002,0.013262999999999999,0.012103000000000001,0.031319,0.0,0.07174900000000001,0.072162
394,https://www.hubspot.com,2,ok,199.60.103.30,443,0.056034,0.02155,0.01923,0.056137,0.0,0.41158999999999996,0.41456499999999996
415,https://www.google.com.tr,2,ok,172.217.23.163,443,0.029144999999999997,0.011904000000000001,0.01095,0.029235,0.0,0.073589,0.07379
419,https://www.feedburner.com,2,ok,172.217.23.174,443,0.031366000000000005,0.012691,0.010435999999999999,0.031507,0.0,0.17971800000000002,0.179818
426,https://www.arnebrachhold.de,2,ok,104.28.28.46,443,0.062528,0.03185,0.023122999999999998,0.062671,0.0,0.08278300000000001,0.082913
444,https://www.google.com.vn,2,ok,172.217.16.131,443,0.043801,0.026369999999999998,0.023399,0.043899,0.0,0.082319,0.08280599999999999
461,https://www.teamviewer.com,2,ok,65.9.63.33,443,0.043309,0.015392,0.013748,0.043425,0.0,0.095689,0.095788
469,https://www.worldometers.info,2,ok,104.26.4.2,443,0.036469999999999995,0.014168,0.012911,0.036603,0.0,0.41344899999999996,0.5297189999999999
496,https://www.google.co.th,2,ok,172.217.21.195,443,0.038021,0.018213,0.016365,0.038144,0.0,0.10905899999999999,0.109374
511,https://www.google.pl,2,ok,216.58.206.3,443,0.032902,0.014726,0.010826,0.032995,0.0,0.079907,0.080078
517,https://www.business.site,2,ok,172.217.23.174,443,0.031532,0.014244,0.012853999999999999,0.031626,0.0,0.055764999999999995,0.055848
518,https://www.metropoles.com,2,ok,104.18.24.118,443,0.037323,0.020216,0.019264,0.037556,0.0,0.06026,0.067037
544,https://www.google.com.ar,2,ok,172.217.22.3,443,0.055052,0.037093,0.036003,0.055140999999999996,0.0,0.13706500000000002,0.137435
545,https://www.google.com.sa,2,ok,172.217.18.99,443,0.036938,0.013581999999999999,0.012950999999999999,0.037072,0.0,0.073361,0.073736
560,https://www.google.com.au,2,ok,216.58.205.227,443,0.123125,0.103335,0.09877899999999999,0.12325699999999999,0.0,0.166242,0.167983
