no,domain name,website,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
1,google.com,https://www.google.com,ok,172.217.16.132,443.0,0.0,0.036834,0.018267,0.036929,0.0,0.077045,0.077194
2,facebook.com,https://www.facebook.com,ok,157.240.9.35,443.0,0.0,0.042336,0.009961,0.042457,0.0,0.193925,0.30974
3,youtube.com,https://www.youtube.com,ok,172.217.18.110,443.0,0.0,0.029631,0.012297,0.029759,0.0,0.076331,0.665895
7,instagram.com,https://www.instagram.com,ok,185.60.216.174,443.0,0.0,0.034035,0.027751,0.03416,0.0,0.257965,0.259685
18,doubleclick.net,https://www.doubleclick.net,ok,142.250.74.206,443.0,0.0,1.495009,0.013624,1.495121,0.0,1.504995,1.505095
21,googletagmanager.com,https://www.googletagmanager.com,ok,216.58.206.8,443.0,0.0,0.246429,0.012365,0.246548,0.0,0.25805700000000004,0.258143
34,googleusercontent.com,https://www.googleusercontent.com,ok,172.217.23.161,443.0,0.0,0.264689,0.244833,0.264793,0.0,0.274589,0.274699
37,goo.gl,https://www.goo.gl,ok,216.58.212.174,443.0,0.0,2.248575,0.019369,2.2486900000000003,0.0,2.5160560000000003,2.516148
42,blogspot.com,https://www.blogspot.com,ok,172.217.23.137,443.0,0.0,0.243523,0.224472,0.243686,0.0,0.724695,0.724826
45,google-analytics.com,https://www.google-analytics.com,ok,216.58.212.142,443.0,0.0,0.24994,0.007994,0.250045,0.0,0.260835,0.260958
48,fbcdn.net,https://www.fbcdn.net,ok,157.240.9.35,443.0,0.0,1.992954,0.231832,1.993066,0.0,2.22665,2.2267080000000004
55,myshopify.com,https://www.myshopify.com,ok,23.227.38.74,443.0,0.0,0.232508,0.006431999999999999,0.232598,0.0,0.481193,0.481313
67,medium.com,https://www.medium.com,ok,104.16.120.145,443.0,0.0,0.263825,0.245915,0.26394,0.0,0.495683,1.4970139999999998
75,google.com.hk,https://www.google.com.hk,ok,172.217.18.163,443.0,0.0,0.242468,0.230334,0.242621,0.0,0.480483,0.508733
84,googlevideo.com,https://www.googlevideo.com,ok,142.250.74.196,443.0,0.0,0.472967,0.231908,0.473096,0.0,0.482757,0.48286
94,cloudflare.com,https://www.cloudflare.com,ok,104.16.123.96,443.0,0.0,0.243767,0.23729,0.243876,0.0,0.481764,0.491975
95,googleadservices.com,https://www.googleadservices.com,ok,216.58.207.66,443.0,0.0,1.749372,0.015511000000000004,1.7495029999999998,0.0,1.758632,1.7587689999999998
114,google.co.in,https://www.google.co.in,ok,216.58.207.35,443.0,0.0,0.242673,0.23047,0.242798,0.0,0.48074,0.507584
127,tinyurl.com,https://www.tinyurl.com,ok,172.67.1.225,443.0,0.0,0.016245,0.009452,0.016346,0.0,0.7438560000000001,0.743915
131,google.de,https://www.google.de,ok,216.58.208.35,443.0,0.0,0.243366,0.232867,0.243477,0.0,0.471966,0.49894
132,yy.com,https://www.yy.com,ok,103.227.121.100,443.0,0.0,3.499915,0.49198,3.500062,0.0,3.991497,3.991582
146,google.co.jp,https://www.google.co.jp,ok,216.58.207.67,443.0,0.0,0.246623,0.019393,0.24674,0.0,0.495203,0.495375
153,youtube-nocookie.com,https://www.youtube-nocookie.com,ok,172.217.23.110,443.0,0.0,0.244779,0.229696,0.244875,0.0,0.479681,0.5056689999999999
157,google.com.br,https://www.google.com.br,ok,172.217.18.163,443.0,0.0,0.481928,0.47149,0.482055,0.0,0.7215050000000001,0.721657
179,google.co.uk,https://www.google.co.uk,ok,216.58.212.163,443.0,0.0,0.249792,0.23372,0.249918,0.0,0.483786,0.510031
188,google.cn,https://www.google.cn,ok,216.58.206.3,443.0,0.0,0.250997,0.231368,0.251137,0.0,0.481149,0.50713
190,blogger.com,https://www.blogger.com,ok,172.217.23.169,443.0,0.0,1.985202,0.016492,1.985346,0.0,2.2330970000000003,2.233174
200,fb.com,https://www.fb.com,ok,69.171.250.35,443.0,0.0,0.234442,0.229219,0.234561,0.0,0.472617,1.473772
220,google.es,https://www.google.es,ok,172.217.16.195,443.0,0.0,0.251454,0.230375,0.25156300000000004,0.0,0.480383,0.507228
225,google.fr,https://www.google.fr,ok,216.58.212.163,443.0,0.0,0.248367,0.236877,0.248491,0.0,0.487102,0.513684
227,google.ru,https://www.google.ru,ok,216.58.212.131,443.0,0.0,0.242303,0.228585,0.242398,0.0,0.478535,0.505494
244,google.it,https://www.google.it,ok,216.58.208.35,443.0,0.0,0.244667,0.23031,0.244786,0.0,0.480708,0.507666
273,gmail.com,https://www.gmail.com,ok,172.217.23.101,443.0,0.0,0.025275,0.01375,0.025446,0.0,0.24601,0.246227
282,android.com,https://www.android.com,ok,142.250.74.206,443.0,0.0,2.243892,0.250024,2.243985,0.0,2.256571,3.745627
284,googletagservices.com,https://www.googletagservices.com,ok,172.217.22.2,443.0,0.0,0.022283,0.007103,0.022419,0.0,0.245927,0.246031
