no,website,responseStart,domInteractive,domComplete,nextHopProtocol
1,https://www.google.com,556.0050000003685,1627.7800000007119,2591.535000001386,h3-29
2,https://www.facebook.com,489.675000000716,1072.0700000001668,1355.730000001131,h3-29
3,https://www.youtube.com,56.42000000079861,3779.7350000000733,3812.325000000783,h3-29
7,https://www.instagram.com,365.50499999975733,593.5950000002778,626.220000000103,h3-29
18,https://www.doubleclick.net,76.19499999964319,1752.7649999992718,1778.7900000002994,h3-29
21,https://www.googletagmanager.com,11.80999999996857,1014.2999999989116,1014.4249999993916,h3-29
34,https://www.googleusercontent.com,26.44999999938591,182.409999999436,182.98499999946216,h3-29
37,https://www.goo.gl,54.42500000026485,115.78000000008616,151.53499999905762,h3-29
42,https://www.blogspot.com,380.65499999902397,1012.1749999998427,1286.6950000006912,h3-29
45,https://www.google-analytics.com,36.07999999985623,1379.079999998794,1514.1999999996187,h3-29
48,https://www.fbcdn.net,433.1750000001193,1171.0949999996953,1614.4600000006906,h3-29
55,https://www.myshopify.com,194.19999999990975,4292.120000000068,4293.105000000652,h3-29
67,https://www.medium.com,1316.6049999999816,2981.5250000010565,6940.8000000003085,h3-29
75,https://www.google.com.hk,122.18499999835329,462.69499999834807,1076.24499999838,h3-29
84,https://www.googlevideo.com,21.725000000515138,64.32999999924505,66.74000000020897,h3-29
94,https://www.cloudflare.com,81.11499999904481,575.8349999996426,701.7500000001745,h3-29
95,https://www.googleadservices.com,12.169999999969152,74.66500000009545,79.9299999998766,h3-29
114,https://www.google.co.in,96.67500000068684,221.23500000088825,570.160000001124,h3-29
127,https://www.tinyurl.com,1081.625000000713,1354.960000000574,5165.020000000368,h3-29
131,https://www.google.de,116.36499999985972,235.3849999999511,477.19000000142836,h3-29
132,https://www.yy.com,1618.3000000000902,1673.8100000002305,1701.100000000224,
146,https://www.google.co.jp,102.9499999986001,283.8749999991705,529.6799999996438,h3-29
153,https://www.youtube-nocookie.com,69.20499999978347,143.07000000007974,182.45000000024447,h3-29
157,https://www.google.com.br,118.175000001429,219.81000000050702,470.0250000005326,h3-29
179,https://www.google.co.uk,108.5750000002008,200.29500000055125,357.55000000062864,h3-29
188,https://www.google.cn,66.04999999944994,103.54000000006636,142.0350000007602,h3-29
190,https://www.blogger.com,132.2149999996327,279.29000000040105,358.1450000001496,h3-29
200,https://www.fb.com,514.2700000014884,915.3500000011264,1248.8700000012614,h3-29
220,https://www.google.es,109.73000000012688,288.84499999912805,799.1949999995994,h3-29
225,https://www.google.fr,109.30000000007568,509.2699999986508,925.2849999993488,h3-29
227,https://www.google.ru,108.71000000042841,300.73000000083994,629.8999999999069,h3-29
244,https://www.google.it,104.39500000029513,217.4549999999726,479.1650000006483,h3-29
273,https://www.gmail.com,157.36999999899123,385.36000000021886,385.7699999989563,h3-29
282,https://www.android.com,23.31000000049244,77.93499999934284,288.1049999996321,h3-29
284,https://www.googletagservices.com,68.55999999970663,133.0699999998615,133.16499999928055,h3-29
294,https://www.addtoany.com,49.10500000005413,164.33499999948253,229.07499999928402,h3-29
298,https://www.google.ca,130.0150000006397,237.77499999960128,486.88500000025664,h3-29
